sim,true_beta,n,model,p,n_f,true_beta_f
27,0,25,model4,0.14693696617854352,25,beta = 0
28,0,25,model1,0.05979175079350679,25,beta = 0
28,0,25,model2,0.2511318297727971,25,beta = 0
28,0,25,model3,0.3240635806708765,25,beta = 0
28,0,25,model4,0.08422757820134157,25,beta = 0
29,0,25,model1,0.07924169233509039,25,beta = 0
29,0,25,model2,0.05731518469326189,25,beta = 0
29,0,25,model3,0.012623568031581016,25,beta = 0
29,0,25,model4,0.12449851675501636,25,beta = 0
30,0,25,model1,0.31185195168225055,25,beta = 0
30,0,25,model2,0.46880154533114615,25,beta = 0
30,0,25,model3,0.32322538933221523,25,beta = 0
30,0,25,model4,0.19963875754800167,25,beta = 0
31,0,25,model1,0.013544008814811869,25,beta = 0
31,0,25,model2,0.889090061621697,25,beta = 0
31,0,25,model3,0.37004196544311074,25,beta = 0
31,0,25,model4,0.18856996283927496,25,beta = 0
32,0,25,model1,0.4658578572745251,25,beta = 0
32,0,25,model2,0.008584934284822954,25,beta = 0
32,0,25,model3,0.9276049317104789,25,beta = 0
32,0,25,model4,0.4140780296558283,25,beta = 0
33,0,25,model1,0.4379519437296804,25,beta = 0
33,0,25,model2,0.5892832631749738,25,beta = 0
33,0,25,model3,0.7646289597652268,25,beta = 0
33,0,25,model4,0.5729430696240969,25,beta = 0
34,0,25,model1,0.38745714180156476,25,beta = 0
34,0,25,model2,0.2892884511567795,25,beta = 0
34,0,25,model3,0.9240819280382018,25,beta = 0
34,0,25,model4,0.6062686575588363,25,beta = 0
35,0,25,model1,0.9027822857213963,25,beta = 0
35,0,25,model2,0.27577625472597966,25,beta = 0
35,0,25,model3,0.07558755696661854,25,beta = 0
35,0,25,model4,0.9971195868677354,25,beta = 0
36,0,25,model1,0.42063548375707005,25,beta = 0
36,0,25,model2,0.1719003198496579,25,beta = 0
36,0,25,model3,0.8029417439212068,25,beta = 0
36,0,25,model4,0.7057099755769105,25,beta = 0
37,0,25,model1,0.4662185704975912,25,beta = 0
37,0,25,model2,0.6698597681629138,25,beta = 0
37,0,25,model3,0.8422560895979426,25,beta = 0
37,0,25,model4,0.029269130928268147,25,beta = 0
38,0,25,model1,0.7713171598039129,25,beta = 0
38,0,25,model2,0.8947110663296387,25,beta = 0
38,0,25,model3,0.6207750361016897,25,beta = 0
38,0,25,model4,0.331661306050263,25,beta = 0
39,0,25,model1,0.8136805331292234,25,beta = 0
39,0,25,model2,0.18211449585426256,25,beta = 0
39,0,25,model3,0.9343650219657568,25,beta = 0
39,0,25,model4,0.5368139361533594,25,beta = 0
40,0,25,model1,0.2144734690195435,25,beta = 0
40,0,25,model2,0.4985797622463538,25,beta = 0
40,0,25,model3,0.7408357817258917,25,beta = 0
40,0,25,model4,0.1932218294034299,25,beta = 0
41,0,25,model1,0.9162501811869013,25,beta = 0
41,0,25,model2,0.9977247562270966,25,beta = 0
41,0,25,model3,0.5044231191715882,25,beta = 0
41,0,25,model4,0.7339010329078764,25,beta = 0
42,0,25,model1,0.25543751915640756,25,beta = 0
42,0,25,model2,0.6666539705836392,25,beta = 0
42,0,25,model3,0.2624499630821859,25,beta = 0
