sim,true_beta,n,model,p,n_f,true_beta_f
221,0.2,25,model4,0.02384689146700331,25,beta = 0.2
222,0.2,25,model1,0.0832602346351207,25,beta = 0.2
222,0.2,25,model2,0.7011864088513104,25,beta = 0.2
222,0.2,25,model3,0.47674029609483304,25,beta = 0.2
222,0.2,25,model4,0.17347932899652654,25,beta = 0.2
223,0.2,25,model1,0.8982390007888895,25,beta = 0.2
223,0.2,25,model2,0.21495144954523743,25,beta = 0.2
223,0.2,25,model3,0.17829848470376156,25,beta = 0.2
223,0.2,25,model4,0.2701690907161596,25,beta = 0.2
224,0.2,25,model1,0.5182052928159931,25,beta = 0.2
224,0.2,25,model2,0.9873846469854516,25,beta = 0.2
224,0.2,25,model3,0.16474817116261814,25,beta = 0.2
224,0.2,25,model4,0.34311274051449525,25,beta = 0.2
225,0.2,25,model1,0.8887312423018333,25,beta = 0.2
225,0.2,25,model2,0.040069471914109034,25,beta = 0.2
225,0.2,25,model3,0.028304887881227488,25,beta = 0.2
225,0.2,25,model4,0.2979265994892474,25,beta = 0.2
226,0.2,25,model1,0.2717747950051534,25,beta = 0.2
226,0.2,25,model2,0.4324537866516557,25,beta = 0.2
226,0.2,25,model3,0.24641150247861093,25,beta = 0.2
226,0.2,25,model4,0.39330599922044873,25,beta = 0.2
227,0.2,25,model1,0.7625465287052402,25,beta = 0.2
227,0.2,25,model2,0.9182560891251674,25,beta = 0.2
227,0.2,25,model3,0.4165956773912992,25,beta = 0.2
227,0.2,25,model4,0.06667030358404107,25,beta = 0.2
228,0.2,25,model1,0.6310690401463805,25,beta = 0.2
228,0.2,25,model2,0.5095702435702125,25,beta = 0.2
228,0.2,25,model3,0.9331233567388231,25,beta = 0.2
228,0.2,25,model4,0.9390178166659786,25,beta = 0.2
229,0.2,25,model1,0.924409697917068,25,beta = 0.2
229,0.2,25,model2,0.4135889040524423,25,beta = 0.2
229,0.2,25,model3,0.22185553132306607,25,beta = 0.2
229,0.2,25,model4,0.546848540807653,25,beta = 0.2
230,0.2,25,model1,0.485564402566956,25,beta = 0.2
230,0.2,25,model2,0.7334992308680754,25,beta = 0.2
230,0.2,25,model3,0.6040425034401073,25,beta = 0.2
230,0.2,25,model4,0.48652791460605427,25,beta = 0.2
231,0.2,25,model1,0.2543532440721451,25,beta = 0.2
231,0.2,25,model2,0.6272799207844378,25,beta = 0.2
231,0.2,25,model3,0.7280711146958403,25,beta = 0.2
231,0.2,25,model4,0.49688386760641745,25,beta = 0.2
232,0.2,25,model1,0.3145924429938226,25,beta = 0.2
232,0.2,25,model2,0.26636804603911,25,beta = 0.2
232,0.2,25,model3,0.05186121765753089,25,beta = 0.2
232,0.2,25,model4,0.08927554973510089,25,beta = 0.2
233,0.2,25,model1,0.026552458370068963,25,beta = 0.2
233,0.2,25,model2,0.29056383797884033,25,beta = 0.2
233,0.2,25,model3,0.007541077909352647,25,beta = 0.2
233,0.2,25,model4,0.2379073883821547,25,beta = 0.2
234,0.2,25,model1,0.056084049812382734,25,beta = 0.2
234,0.2,25,model2,0.6858081922151766,25,beta = 0.2
234,0.2,25,model3,0.4461382810565594,25,beta = 0.2
234,0.2,25,model4,0.9257862438099467,25,beta = 0.2
235,0.2,25,model1,0.045651382096462016,25,beta = 0.2
235,0.2,25,model2,0.06337791014726085,25,beta = 0.2
235,0.2,25,model3,0.05971989323372241,25,beta = 0.2
235,0.2,25,model4,0.3646484961004427,25,beta = 0.2
236,0.2,25,model1,0.5599233234259979,25,beta = 0.2
236,0.2,25,model2,0.061922917404387094,25,beta = 0.2
236,0.2,25,model3,0.983507376707597,25,beta = 0.2
236,0.2,25,model4,0.12384840549384367,25,beta = 0.2
237,0.2,25,model1,0.005693941346717634,25,beta = 0.2
237,0.2,25,model2,0.5650372344842176,25,beta = 0.2
237,0.2,25,model3,0.1178586965416685,25,beta = 0.2
237,0.2,25,model4,0.7169465133871177,25,beta = 0.2
238,0.2,25,model1,0.06916468066814982,25,beta = 0.2
238,0.2,25,model2,0.40433993751076047,25,beta = 0.2
238,0.2,25,model3,0.28734070054941396,25,beta = 0.2
238,0.2,25,model4,0.5994478963940283,25,beta = 0.2
239,0.2,25,model1,0.9692313940813755,25,beta = 0.2
239,0.2,25,model2,0.07825373017084859,25,beta = 0.2
239,0.2,25,model3,0.023979544006202093,25,beta = 0.2
239,0.2,25,model4,0.7254079545659438,25,beta = 0.2
240,0.2,25,model1,0.28634384985668837,25,beta = 0.2
240,0.2,25,model2,0.24445387207970373,25,beta = 0.2
240,0.2,25,model3,0.6172079340963759,25,beta = 0.2
240,0.2,25,model4,0.7514726099765188,25,beta = 0.2
241,0.2,25,model1,0.18508406829896532,25,beta = 0.2
241,0.2,25,model2,0.27587598267878216,25,beta = 0.2
241,0.2,25,model3,0.005323289140352343,25,beta = 0.2
241,0.2,25,model4,0.1857774780879326,25,beta = 0.2
242,0.2,25,model1,0.007805423495683751,25,beta = 0.2
242,0.2,25,model2,0.09914955124934945,25,beta = 0.2
242,0.2,25,model3,0.649262329290426,25,beta = 0.2
242,0.2,25,model4,0.9514494229174562,25,beta = 0.2
243,0.2,25,model1,0.5146448403193143,25,beta = 0.2
243,0.2,25,model2,0.7219673408832601,25,beta = 0.2
243,0.2,25,model3,0.8627626106263504,25,beta = 0.2
243,0.2,25,model4,0.24767397767376917,25,beta = 0.2
244,0.2,25,model1,0.18021724489035476,25,beta = 0.2
244,0.2,25,model2,0.3192103669668474,25,beta = 0.2
244,0.2,25,model3,0.5420518223060657,25,beta = 0.2
244,0.2,25,model4,0.6731364075218107,25,beta = 0.2
245,0.2,25,model1,0.30146214087080486,25,beta = 0.2
245,0.2,25,model2,0.3481312870482941,25,beta = 0.2
245,0.2,25,model3,0.21814181217949258,25,beta = 0.2
245,0.2,25,model4,0.001418228184014796,25,beta = 0.2
246,0.2,25,model1,0.9781207194744195,25,beta = 0.2
246,0.2,25,model2,0.3373904998414329,25,beta = 0.2
246,0.2,25,model3,0.12644559259951443,25,beta = 0.2
246,0.2,25,model4,0.3037165599638444,25,beta = 0.2
247,0.2,25,model1,0.1376302482979489,25,beta = 0.2
247,0.2,25,model2,0.5405222761065372,25,beta = 0.2
247,0.2,25,model3,0.1287971138234394,25,beta = 0.2
247,0.2,25,model4,0.016611103863177844,25,beta = 0.2
248,0.2,25,model1,0.5824036140837109,25,beta = 0.2
248,0.2,25,model2,0.7071666580844905,25,beta = 0.2
248,0.2,25,model3,0.07813424741001651,25,beta = 0.2
248,0.2,25,model4,0.43395901355859645,25,beta = 0.2
249,0.2,25,model1,0.005220552020222287,25,beta = 0.2
249,0.2,25,model2,0.06999290252367263,25,beta = 0.2
249,0.2,25,model3,0.4789370790204047,25,beta = 0.2
249,0.2,25,model4,0.03249508887480337,25,beta = 0.2
250,0.2,25,model1,0.13832438994118795,25,beta = 0.2
250,0.2,25,model2,0.3329915370899065,25,beta = 0.2
250,0.2,25,model3,0.9514681653062094,25,beta = 0.2
250,0.2,25,model4,0.23534648932670021,25,beta = 0.2
251,0.2,25,model1,0.02825918150512581,25,beta = 0.2
251,0.2,25,model2,0.13748984362539654,25,beta = 0.2
251,0.2,25,model3,0.0739436033957696,25,beta = 0.2
251,0.2,25,model4,0.7110955990533057,25,beta = 0.2
252,0.2,25,model1,0.6565157385124207,25,beta = 0.2
252,0.2,25,model2,0.4704291904489869,25,beta = 0.2
252,0.2,25,model3,0.3735596666065506,25,beta = 0.2
252,0.2,25,model4,0.05126099560619619,25,beta = 0.2
253,0.2,25,model1,0.3633193153773495,25,beta = 0.2
253,0.2,25,model2,0.055740801701893224,25,beta = 0.2
253,0.2,25,model3,0.12071343618825026,25,beta = 0.2
253,0.2,25,model4,0.843996354575848,25,beta = 0.2
254,0.2,25,model1,0.6768130541175996,25,beta = 0.2
254,0.2,25,model2,0.16546019820605717,25,beta = 0.2
254,0.2,25,model3,0.12171062405837273,25,beta = 0.2
254,0.2,25,model4,0.45965105934210304,25,beta = 0.2
255,0.2,25,model1,0.6467914629494991,25,beta = 0.2
255,0.2,25,model2,0.057017383576763774,25,beta = 0.2
255,0.2,25,model3,0.051296231651785255,25,beta = 0.2
255,0.2,25,model4,0.07741679843543886,25,beta = 0.2
256,0.2,25,model1,0.7161802688425101,25,beta = 0.2
256,0.2,25,model2,0.886564055732257,25,beta = 0.2
256,0.2,25,model3,0.38333909580666137,25,beta = 0.2
256,0.2,25,model4,0.04892224344455355,25,beta = 0.2
257,0.2,25,model1,0.04108025886817197,25,beta = 0.2
257,0.2,25,model2,0.22127027414817002,25,beta = 0.2
257,0.2,25,model3,0.6404587992000537,25,beta = 0.2
257,0.2,25,model4,0.024084756968076892,25,beta = 0.2
258,0.2,25,model1,0.08453410976671383,25,beta = 0.2
258,0.2,25,model2,0.04386150563670725,25,beta = 0.2
258,0.2,25,model3,0.09035536839864952,25,beta = 0.2
258,0.2,25,model4,0.26971301820855725,25,beta = 0.2
259,0.2,25,model1,0.062077380937675515,25,beta = 0.2
259,0.2,25,model2,0.1466652271430328,25,beta = 0.2
259,0.2,25,model3,0.8050026835589165,25,beta = 0.2
259,0.2,25,model4,0.9885463745867351,25,beta = 0.2
260,0.2,25,model1,0.11083044135415149,25,beta = 0.2
260,0.2,25,model2,0.15277149335716822,25,beta = 0.2
260,0.2,25,model3,0.12072949126233691,25,beta = 0.2
260,0.2,25,model4,0.3017212429376135,25,beta = 0.2
261,0.2,25,model1,0.015822732606613942,25,beta = 0.2
261,0.2,25,model2,0.763403293177662,25,beta = 0.2
261,0.2,25,model3,0.0021791745774905552,25,beta = 0.2
261,0.2,25,model4,0.42726273542340076,25,beta = 0.2
262,0.2,25,model1,0.8371826919770107,25,beta = 0.2
262,0.2,25,model2,0.16115621683855336,25,beta = 0.2
262,0.2,25,model3,0.2994075140216109,25,beta = 0.2
262,0.2,25,model4,0.7495824086332927,25,beta = 0.2
263,0.2,25,model1,0.6077495445193519,25,beta = 0.2
263,0.2,25,model2,0.008150658089650332,25,beta = 0.2
263,0.2,25,model3,0.58772825946598,25,beta = 0.2
263,0.2,25,model4,0.34289803135218766,25,beta = 0.2
264,0.2,25,model1,0.0711108710620819,25,beta = 0.2
264,0.2,25,model2,0.0771950895155435,25,beta = 0.2
264,0.2,25,model3,0.7305725024713032,25,beta = 0.2
264,0.2,25,model4,0.6767469058509498,25,beta = 0.2
265,0.2,25,model1,0.09972569485124459,25,beta = 0.2
265,0.2,25,model2,0.33729255121520685,25,beta = 0.2
265,0.2,25,model3,0.08830026049620021,25,beta = 0.2
265,0.2,25,model4,0.8017498696431443,25,beta = 0.2
266,0.2,25,model1,0.8259796746455791,25,beta = 0.2
266,0.2,25,model2,0.7185094881851177,25,beta = 0.2
266,0.2,25,model3,0.0052650556344209795,25,beta = 0.2
266,0.2,25,model4,0.9701194545418146,25,beta = 0.2
267,0.2,25,model1,0.06294983740901781,25,beta = 0.2
267,0.2,25,model2,0.048621910565668,25,beta = 0.2
267,0.2,25,model3,0.8078799908058192,25,beta = 0.2
267,0.2,25,model4,0.26897095740358523,25,beta = 0.2
268,0.2,25,model1,0.9796555447253561,25,beta = 0.2
268,0.2,25,model2,0.44676025985517487,25,beta = 0.2
268,0.2,25,model3,0.47428222873628345,25,beta = 0.2
268,0.2,25,model4,0.029723724250695287,25,beta = 0.2
269,0.2,25,model1,0.21698878508980812,25,beta = 0.2
269,0.2,25,model2,0.5195238486203273,25,beta = 0.2
269,0.2,25,model3,0.005554199874403532,25,beta = 0.2
269,0.2,25,model4,0.45328814037555665,25,beta = 0.2
270,0.2,25,model1,0.6420680742965152,25,beta = 0.2
270,0.2,25,model2,0.18472459819100054,25,beta = 0.2
270,0.2,25,model3,0.8372363048546632,25,beta = 0.2
270,0.2,25,model4,0.9633293791480682,25,beta = 0.2
271,0.2,25,model1,0.23709965032942704,25,beta = 0.2
271,0.2,25,model2,0.6518180255670177,25,beta = 0.2
271,0.2,25,model3,0.5286594510254468,25,beta = 0.2
271,0.2,25,model4,0.6200206568913114,25,beta = 0.2
272,0.2,25,model1,0.19548635830597655,25,beta = 0.2
272,0.2,25,model2,0.1823527082865709,25,beta = 0.2
272,0.2,25,model3,0.28087463502536414,25,beta = 0.2
272,0.2,25,model4,0.20281688115566082,25,beta = 0.2
273,0.2,25,model1,0.7243975859439656,25,beta = 0.2
273,0.2,25,model2,0.023045390826680605,25,beta = 0.2
273,0.2,25,model3,0.5035181805977886,25,beta = 0.2
273,0.2,25,model4,0.2710711656745213,25,beta = 0.2
274,0.2,25,model1,0.5694635413088254,25,beta = 0.2
274,0.2,25,model2,0.017071932441756293,25,beta = 0.2
274,0.2,25,model3,0.5313733342497433,25,beta = 0.2
274,0.2,25,model4,0.26448240746802076,25,beta = 0.2
275,0.2,25,model1,0.15354326936595322,25,beta = 0.2
275,0.2,25,model2,0.05207329458997415,25,beta = 0.2
275,0.2,25,model3,0.40739727751234267,25,beta = 0.2
275,0.2,25,model4,0.0010676327997682913,25,beta = 0.2
276,0.2,25,model1,0.03983901189472746,25,beta = 0.2
276,0.2,25,model2,0.06132657357822409,25,beta = 0.2
276,0.2,25,model3,0.9788833969028781,25,beta = 0.2
276,0.2,25,model4,0.0016107149624744865,25,beta = 0.2
277,0.2,25,model1,0.9821242000960462,25,beta = 0.2
277,0.2,25,model2,0.19725191751103713,25,beta = 0.2
277,0.2,25,model3,0.029153467869950444,25,beta = 0.2
277,0.2,25,model4,0.11644352539300168,25,beta = 0.2
278,0.2,25,model1,0.46620164122586893,25,beta = 0.2
278,0.2,25,model2,0.6831106526508893,25,beta = 0.2
278,0.2,25,model3,0.38860178794823985,25,beta = 0.2
278,0.2,25,model4,0.172407838703522,25,beta = 0.2
279,0.2,25,model1,0.517714036869714,25,beta = 0.2
279,0.2,25,model2,0.3895895679994663,25,beta = 0.2
279,0.2,25,model3,0.15767915446016348,25,beta = 0.2
279,0.2,25,model4,0.37065227752803465,25,beta = 0.2
280,0.2,25,model1,0.4095611509458764,25,beta = 0.2
280,0.2,25,model2,0.05249492732559107,25,beta = 0.2
280,0.2,25,model3,0.7307698658340392,25,beta = 0.2
280,0.2,25,model4,0.35979910294963746,25,beta = 0.2
281,0.2,25,model1,0.7554731147144254,25,beta = 0.2
281,0.2,25,model2,0.6454461701079042,25,beta = 0.2
281,0.2,25,model3,0.193473424532564,25,beta = 0.2
281,0.2,25,model4,0.008015600103539444,25,beta = 0.2
282,0.2,25,model1,0.9669413988262827,25,beta = 0.2
282,0.2,25,model2,0.1592657650317223,25,beta = 0.2
282,0.2,25,model3,0.1736038914843459,25,beta = 0.2
282,0.2,25,model4,0.2525264952801832,25,beta = 0.2
283,0.2,25,model1,0.02171128887671498,25,beta = 0.2
283,0.2,25,model2,0.5465289036130885,25,beta = 0.2
283,0.2,25,model3,0.005330503987425849,25,beta = 0.2
283,0.2,25,model4,0.6369781954602436,25,beta = 0.2
284,0.2,25,model1,0.4403866964215888,25,beta = 0.2
284,0.2,25,model2,0.10317271077494042,25,beta = 0.2
284,0.2,25,model3,0.597678226935809,25,beta = 0.2
284,0.2,25,model4,0.03578387348730655,25,beta = 0.2
285,0.2,25,model1,0.7366273904827856,25,beta = 0.2
285,0.2,25,model2,0.4928877175347455,25,beta = 0.2
285,0.2,25,model3,0.12590510924865864,25,beta = 0.2
285,0.2,25,model4,0.032135610041576085,25,beta = 0.2
286,0.2,25,model1,0.6560989493297043,25,beta = 0.2
286,0.2,25,model2,0.035385833074200276,25,beta = 0.2
286,0.2,25,model3,0.6402945157081228,25,beta = 0.2
286,0.2,25,model4,0.5764698354194658,25,beta = 0.2
287,0.2,25,model1,0.01018698897484291,25,beta = 0.2
287,0.2,25,model2,0.19745576513237117,25,beta = 0.2
287,0.2,25,model3,0.21886673701769688,25,beta = 0.2
287,0.2,25,model4,0.1851141451658719,25,beta = 0.2
288,0.2,25,model1,0.2614797785003384,25,beta = 0.2
288,0.2,25,model2,0.0685476058806806,25,beta = 0.2
288,0.2,25,model3,0.48482829913258774,25,beta = 0.2
288,0.2,25,model4,0.8469019202893946,25,beta = 0.2
289,0.2,25,model1,0.35060086197884266,25,beta = 0.2
289,0.2,25,model2,0.09714655315434167,25,beta = 0.2
289,0.2,25,model3,0.7117774727410746,25,beta = 0.2
289,0.2,25,model4,0.9231545798930272,25,beta = 0.2
290,0.2,25,model1,0.4779663747255819,25,beta = 0.2
290,0.2,25,model2,0.8167687956375228,25,beta = 0.2
290,0.2,25,model3,0.023993402228019347,25,beta = 0.2
290,0.2,25,model4,0.9391949363852652,25,beta = 0.2
291,0.2,25,model1,0.611295841137757,25,beta = 0.2
291,0.2,25,model2,0.672569807711004,25,beta = 0.2
291,0.2,25,model3,0.7041848844169805,25,beta = 0.2
291,0.2,25,model4,0.5856210493580263,25,beta = 0.2
292,0.2,25,model1,0.514147846802389,25,beta = 0.2
292,0.2,25,model2,0.568096897844006,25,beta = 0.2
292,0.2,25,model3,0.009328454063973132,25,beta = 0.2
292,0.2,25,model4,0.3146720026329312,25,beta = 0.2
293,0.2,25,model1,0.6370981617596272,25,beta = 0.2
293,0.2,25,model2,0.4545294121370175,25,beta = 0.2
293,0.2,25,model3,0.961583438775311,25,beta = 0.2
293,0.2,25,model4,0.3114257420303667,25,beta = 0.2
294,0.2,25,model1,0.4920610226351868,25,beta = 0.2
294,0.2,25,model2,0.014711931406832175,25,beta = 0.2
294,0.2,25,model3,0.19335742144858448,25,beta = 0.2
294,0.2,25,model4,0.0760997206943086,25,beta = 0.2
295,0.2,25,model1,0.1506541541479025,25,beta = 0.2
295,0.2,25,model2,0.015755758778418116,25,beta = 0.2
295,0.2,25,model3,0.2651632151650257,25,beta = 0.2
295,0.2,25,model4,0.7976042578237836,25,beta = 0.2
296,0.2,25,model1,0.006922467455304762,25,beta = 0.2
296,0.2,25,model2,0.012364091721274487,25,beta = 0.2
296,0.2,25,model3,0.09159357121774801,25,beta = 0.2
296,0.2,25,model4,0.6487854022199593,25,beta = 0.2
297,0.2,25,model1,0.9881382832486998,25,beta = 0.2
297,0.2,25,model2,0.6901519196709076,25,beta = 0.2
297,0.2,25,model3,0.7284504250334107,25,beta = 0.2
297,0.2,25,model4,0.11535763393227011,25,beta = 0.2
298,0.2,25,model1,0.39654154482479154,25,beta = 0.2
298,0.2,25,model2,0.02389042885433454,25,beta = 0.2
298,0.2,25,model3,0.22948519636221207,25,beta = 0.2
298,0.2,25,model4,0.6093923739376348,25,beta = 0.2
299,0.2,25,model1,0.011638221680149663,25,beta = 0.2
299,0.2,25,model2,0.043843752229513575,25,beta = 0.2
299,0.2,25,model3,0.2072586445532096,25,beta = 0.2
299,0.2,25,model4,0.09875811326460295,25,beta = 0.2
300,0.2,25,model1,0.22236261700010657,25,beta = 0.2
300,0.2,25,model2,0.5057692066774342,25,beta = 0.2
300,0.2,25,model3,0.4460717783237189,25,beta = 0.2
300,0.2,25,model4,0.02722073038341976,25,beta = 0.2
301,0.2,25,model1,0.5649280681479647,25,beta = 0.2
301,0.2,25,model2,0.2781595184172251,25,beta = 0.2
301,0.2,25,model3,0.19407937098984762,25,beta = 0.2
301,0.2,25,model4,0.469620568500682,25,beta = 0.2
302,0.2,25,model1,0.2828826946247629,25,beta = 0.2
302,0.2,25,model2,0.82190423410333,25,beta = 0.2
302,0.2,25,model3,0.9520292028386764,25,beta = 0.2
302,0.2,25,model4,0.06785592138833656,25,beta = 0.2
303,0.2,25,model1,0.021396228677207977,25,beta = 0.2
303,0.2,25,model2,0.3662942980096707,25,beta = 0.2
303,0.2,25,model3,0.0062362665211971695,25,beta = 0.2
303,0.2,25,model4,0.989117403940287,25,beta = 0.2
304,0.2,25,model1,0.34390104785168196,25,beta = 0.2
304,0.2,25,model2,0.13815457302018724,25,beta = 0.2
304,0.2,25,model3,0.5128914495989575,25,beta = 0.2
304,0.2,25,model4,0.3049800695820202,25,beta = 0.2
305,0.2,25,model1,0.050176488946421016,25,beta = 0.2
305,0.2,25,model2,0.3391717306697277,25,beta = 0.2
305,0.2,25,model3,0.9296333034708307,25,beta = 0.2
305,0.2,25,model4,0.08238082845121743,25,beta = 0.2
306,0.2,25,model1,0.5402546606327878,25,beta = 0.2
306,0.2,25,model2,0.12446156104533153,25,beta = 0.2
306,0.2,25,model3,0.10525636329976007,25,beta = 0.2
306,0.2,25,model4,0.10706885062521936,25,beta = 0.2
307,0.2,25,model1,0.06007048259272781,25,beta = 0.2
307,0.2,25,model2,0.009285213503962098,25,beta = 0.2
307,0.2,25,model3,0.16559544197079018,25,beta = 0.2
307,0.2,25,model4,0.26178769768063986,25,beta = 0.2
308,0.2,25,model1,0.09903731175244052,25,beta = 0.2
308,0.2,25,model2,0.22219504593522382,25,beta = 0.2
308,0.2,25,model3,0.004804395726877399,25,beta = 0.2
308,0.2,25,model4,0.06890881609234904,25,beta = 0.2
309,0.2,25,model1,0.5277140055483256,25,beta = 0.2
309,0.2,25,model2,0.7443860269796081,25,beta = 0.2
309,0.2,25,model3,0.015737356234139115,25,beta = 0.2
309,0.2,25,model4,0.05998809925195076,25,beta = 0.2
310,0.2,25,model1,0.018039988348660538,25,beta = 0.2
310,0.2,25,model2,0.5737713850815707,25,beta = 0.2
310,0.2,25,model3,0.1426522730314242,25,beta = 0.2
310,0.2,25,model4,0.31469843829380933,25,beta = 0.2
311,0.2,25,model1,0.10153220658756876,25,beta = 0.2
311,0.2,25,model2,0.29866977226228475,25,beta = 0.2
311,0.2,25,model3,0.027159034116912992,25,beta = 0.2
311,0.2,25,model4,0.8493577926875467,25,beta = 0.2
312,0.2,25,model1,0.10457235159492914,25,beta = 0.2
312,0.2,25,model2,0.059234004495238225,25,beta = 0.2
312,0.2,25,model3,0.6769526510935768,25,beta = 0.2
312,0.2,25,model4,0.021960744444763206,25,beta = 0.2
313,0.2,25,model1,0.0451579855484588,25,beta = 0.2
313,0.2,25,model2,0.10652512469099829,25,beta = 0.2
313,0.2,25,model3,0.3479438318895207,25,beta = 0.2
313,0.2,25,model4,0.6138252926226997,25,beta = 0.2
314,0.2,25,model1,0.4443604682322867,25,beta = 0.2
314,0.2,25,model2,0.47035905251804,25,beta = 0.2
314,0.2,25,model3,0.5415102436650938,25,beta = 0.2
314,0.2,25,model4,0.9071650410281464,25,beta = 0.2
315,0.2,25,model1,0.08680766350664426,25,beta = 0.2
315,0.2,25,model2,0.2889254907227925,25,beta = 0.2
315,0.2,25,model3,0.08776013374121551,25,beta = 0.2
315,0.2,25,model4,0.17077429658258172,25,beta = 0.2
316,0.2,25,model1,0.20595192897367612,25,beta = 0.2
316,0.2,25,model2,0.05755299790997735,25,beta = 0.2
316,0.2,25,model3,0.05980908960671397,25,beta = 0.2
316,0.2,25,model4,0.009673645991495197,25,beta = 0.2
317,0.2,25,model1,0.11899829938091436,25,beta = 0.2
317,0.2,25,model2,0.007312724708098615,25,beta = 0.2
317,0.2,25,model3,0.7637623336438839,25,beta = 0.2
317,0.2,25,model4,0.08126126645136403,25,beta = 0.2
318,0.2,25,model1,0.11147803848579704,25,beta = 0.2
318,0.2,25,model2,0.17158923758102937,25,beta = 0.2
318,0.2,25,model3,0.025687977710392836,25,beta = 0.2
318,0.2,25,model4,0.3668647857787186,25,beta = 0.2
319,0.2,25,model1,0.01481526774535068,25,beta = 0.2
319,0.2,25,model2,0.14706917140054843,25,beta = 0.2
319,0.2,25,model3,0.09553281536463254,25,beta = 0.2
319,0.2,25,model4,0.2657381300113557,25,beta = 0.2
320,0.2,25,model1,0.9488389406046015,25,beta = 0.2
320,0.2,25,model2,0.9858595711814038,25,beta = 0.2
320,0.2,25,model3,0.04491170276441144,25,beta = 0.2
320,0.2,25,model4,0.09084109943272896,25,beta = 0.2
321,0.2,25,model1,0.05989491768829239,25,beta = 0.2
321,0.2,25,model2,0.0067864569547595914,25,beta = 0.2
321,0.2,25,model3,0.30101185723565677,25,beta = 0.2
321,0.2,25,model4,0.08091102644256166,25,beta = 0.2
322,0.2,25,model1,0.21354997051733568,25,beta = 0.2
322,0.2,25,model2,0.2126313480849667,25,beta = 0.2
322,0.2,25,model3,0.605343062060189,25,beta = 0.2
322,0.2,25,model4,0.20179642663712025,25,beta = 0.2
323,0.2,25,model1,0.3388408706006325,25,beta = 0.2
323,0.2,25,model2,0.01765462453402458,25,beta = 0.2
323,0.2,25,model3,0.7708497594722712,25,beta = 0.2
323,0.2,25,model4,0.22810781040806571,25,beta = 0.2
324,0.2,25,model1,0.2618115860882705,25,beta = 0.2
324,0.2,25,model2,0.021083134170388963,25,beta = 0.2
324,0.2,25,model3,0.29698177571814144,25,beta = 0.2
324,0.2,25,model4,0.7271456096111673,25,beta = 0.2
325,0.2,25,model1,0.47178810568764395,25,beta = 0.2
325,0.2,25,model2,0.7929886009952566,25,beta = 0.2
325,0.2,25,model3,0.6612437974556133,25,beta = 0.2
325,0.2,25,model4,0.9476363921480451,25,beta = 0.2
326,0.2,25,model1,0.04399363981249783,25,beta = 0.2
326,0.2,25,model2,0.18696683234160522,25,beta = 0.2
326,0.2,25,model3,0.7655881177157753,25,beta = 0.2
326,0.2,25,model4,0.7663864065157628,25,beta = 0.2
327,0.2,25,model1,0.027394533130241195,25,beta = 0.2
327,0.2,25,model2,0.6841114648068728,25,beta = 0.2
327,0.2,25,model3,0.4463655300287156,25,beta = 0.2
327,0.2,25,model4,0.8392860035312844,25,beta = 0.2
328,0.2,25,model1,0.30066394842413874,25,beta = 0.2
328,0.2,25,model2,0.17821020827492678,25,beta = 0.2
328,0.2,25,model3,0.054962349612446934,25,beta = 0.2
328,0.2,25,model4,0.8219882899775005,25,beta = 0.2
329,0.2,25,model1,0.001286629962095107,25,beta = 0.2
329,0.2,25,model2,0.013992911924406888,25,beta = 0.2
329,0.2,25,model3,0.28963456385753056,25,beta = 0.2
329,0.2,25,model4,0.13653686625253048,25,beta = 0.2
330,0.2,25,model1,0.75974843630736,25,beta = 0.2
330,0.2,25,model2,0.9906451454164266,25,beta = 0.2
330,0.2,25,model3,0.7379850536906928,25,beta = 0.2
330,0.2,25,model4,0.39488885805527174,25,beta = 0.2
331,0.2,25,model1,0.002886607416253052,25,beta = 0.2
331,0.2,25,model2,0.6891230794285417,25,beta = 0.2
331,0.2,25,model3,0.08725535327980614,25,beta = 0.2
331,0.2,25,model4,0.6637829611630586,25,beta = 0.2
332,0.2,25,model1,0.1676715992059582,25,beta = 0.2
332,0.2,25,model2,0.8199426129848244,25,beta = 0.2
332,0.2,25,model3,0.7623330308976588,25,beta = 0.2
332,0.2,25,model4,0.6729830997046825,25,beta = 0.2
333,0.2,25,model1,0.3774216030341845,25,beta = 0.2
333,0.2,25,model2,0.022563912729581817,25,beta = 0.2
333,0.2,25,model3,0.866791332427041,25,beta = 0.2
333,0.2,25,model4,0.3418134319413607,25,beta = 0.2
334,0.2,25,model1,0.051008228389671104,25,beta = 0.2
334,0.2,25,model2,0.0996700274875272,25,beta = 0.2
334,0.2,25,model3,0.7296970590066187,25,beta = 0.2
334,0.2,25,model4,0.265142273651212,25,beta = 0.2
335,0.2,25,model1,0.08100301050404433,25,beta = 0.2
335,0.2,25,model2,0.5849033015636563,25,beta = 0.2
335,0.2,25,model3,0.2682401466522457,25,beta = 0.2
335,0.2,25,model4,0.8694060777705481,25,beta = 0.2
336,0.2,25,model1,0.09965259109419257,25,beta = 0.2
336,0.2,25,model2,0.10223403180694172,25,beta = 0.2
336,0.2,25,model3,0.7594186881415631,25,beta = 0.2
336,0.2,25,model4,0.4783773510456174,25,beta = 0.2
337,0.2,25,model1,0.14383729240782037,25,beta = 0.2
337,0.2,25,model2,0.5006757618086972,25,beta = 0.2
337,0.2,25,model3,0.011266376470263656,25,beta = 0.2
337,0.2,25,model4,0.531266599458572,25,beta = 0.2
338,0.2,25,model1,0.45275318817649635,25,beta = 0.2
